id,text,label,category,source,filename
normal_상품 가입 및 해지_[수정]20210202 102125," 주글의 공공은행 월공리 적금은요. 각종 주거래 건수에 따라 오대금리 이줍니다 상품 축지군요. 공과근 카드대금이체등, 각종주거래건수 에 따라 오대끈리 제공하는 월용음이 적금입니다 가입대상은요 실명의 개인 또는 개인사업 지 입니다. 가입 기간은요 만원에서 190만 원 입니다  2자는 어떻게 주나요? 망기 1시 지급식입니다. 정립방법은요 자유정립식 입니다 금니는요 최대한 1.00% 입니다 망기 자동 예치되나요 총 3의 자동예치이 됩니다 일부 해지되나 요 예금 가입 후 2회까지 가능합니다 세제 혜택 은요 비가쇠 종합저축 가능 합니다",0,상품 가입 및 해지,original,[수정]20210202 102125.mp3
normal_상품 가입 및 해지_[수정]20210202 102230," 함께하는 사랑조건 뭐예요? 지역 활성화를 이 손에 기충을 지원할 위한 적금입니다. 가입대상은요? 개인 및 법인 가능합니다. 가 입기간은요 12개월 이상 36개월 이하 입니다. 가잎 금액은요 4만원 이상입니다 정립금액은 요 최저 만 원이상 정리판도는 100만 원 이와  법인은 천만원 이하입니다. 이자 지급 방법은요? 만기일시,지급방법 입니다. 금 일은요 ? 최대 0.9% 입니다. 일보 해지 가능합니까? 불가합니다. 후원금 주나요? 지방자치단 제별 500개 자 이상의 경우에만 제공됩니다. 언제부터 인가요? 2020년까지 매년 12월 말 기준입니다",0,상품 가입 및 해지,original,[수정]20210202 102230.mp3
normal_상품 가입 및 해지_[수정]20210202 102337," 연금 하나 월봉리 적금은 무엇인가요? 연금 하나로 오케이. 월복리 이자의 이자가 오케이 상품 특징은요? 연금비채 하나로 우대 금위가 제공되는 월곡미 작금입니다 가입대상은요 실명에 개인 또는 개인사업지 입니다 가악기관은요 1년 2년  3년입니다. 가입금액은요? 만원이상 150만 원 이하 입니다. 우대금리는요? 최대 1% 입니다 도전 365조금은요 나이 거름수에 따른 우대금의 혜택 입니다. 걸으려 하나요 네, 거름 수에 따라서 입니다  자세 이상 지명의 기인이나 개인 사업자입니다. 다행히 기간이 아니죠? 1년 입니다",0,상품 가입 및 해지,original,[수정]20210202 102337.mp3
normal_상품 가입 및 해지_[수정]20210202 102451," 정기적금은요? 매월정립하여 목도날발연하는 상품입니다. 가입대상은요 개인 돈엔 법입니다. 가이 기간은요 6개월이상 60개월 이하 입니다. 계약 금액은요 만원 이상입니다. 정립 단일은요 천 원 이상 100원 단위입니다.  정액정립식입니다. 망기일이 경과되면 어떻게 하나요? 계약납입 총회수의 이분의 일 이상 납입한 경우에는 양초계약 기간에 두배 범위대에서 월저축금을 수납합니다. 분할해지 가능합니까? 총 3회가능 합니다. 세제 혜택은요? 비과세 종합저춱, 가능합니다  해지 씨 어떻게 하나요? 스마트폰인 경우 본인 확인 절차를 거친 후, 해지 가능합니다.",0,상품 가입 및 해지,original,[수정]20210202 102451.mp3
normal_상품 가입 및 해지_[수정]20210202 102605, 자유접금은 무엇인가요? 계약기간 동안 수시로 접금이 가능한 자유정립식 상품입니다. 가입대상은요? 제안 없습니다. 가 입 기간은요 6개월에서 60개월 이하 입니다. 가익 금액은요 1천원 이상 10000 원 이하입니다 정리 판도는요 매일 10000원 내에서 원단히 자유적립 식입니다  이자 지급 방법은요? 만기 일시 정립 시킵니다 일부 해지 가능한가요? 총 2회 가능합니다 유의사항 있나요? 1. 만기일전에 중도해지시 약정한 금위보다 낮은 중도해지금위가 적용됩니다 게임 뱅킹에서 기업 또 가능하나요? 게임만 가능합니다 스마트폰 에서 가능 하나요  네 스마트폰에서도 가능합니다.,0,상품 가입 및 해지,original,[수정]20210202 102605.mp3
normal_상품 가입 및 해지_[수정]20210202 102718, DP급은 무엇인가요? 하나 은행과 링키의 첫 번째 만남입니다 SK텔레콤 통신기 자동이체만 해도 우대금위 연 1%가 제공됩니다 세후 인가요? 새전 입니다 기본 금융은 얼마인가요 ? 연 1.35% 입니다 그러면 합이 얼마인까요?  5.35%입니다. 롤스클 팀 안 되나요? 네 SK팀 안됩니다 핑크 가입해야 되나요 ? 네 핑크가 가입되어야 합니다 자동이체 해야 되나요?? 네 반드시 자동 이체 해야됩니다 하나머니 세상은 무엇입니까? 예금의 만기 이자를 하나머미로 정립 동의하면 우회금리 제공합니다  1.7% 세정입니다,0,상품 가입 및 해지,original,[수정]20210202 102718.mp3
normal_상품 가입 및 해지_[수정]20210202 102834," 오늘은 얼마나 적금은 무엇인가요? 매일 매일 저축하는 습관의 기르는 1,2제테크 적금입니다. 그럼요? 최대 금리 연 1.60% 입니다. 5대금리 있나요? 네! 최대 5대 금리만 1.20% 더해줍니다 기간을 요  6개월에서 12개월 이상입니다. 정립 한도는요? 1, 2, 5만원 월 100만 원 입니다 알람 실청되나요? 영업일 일회 일기 저축 경념은 자수 신합니다. 갈 금액은요? 천 원이상 5만원이 내 담이 입니다 매일 안 하면 어떻게 해요? 나만의 목표를 세우고 저춧 가세요  3년 가입 시 금융이 달라요? 연 0.4%를 더줍니다",0,상품 가입 및 해지,original,[수정]20210202 102834.mp3
normal_상품 가입 및 해지_[수정]20210202 102950," 청년 우대형 주택청약 종합저축은 무엇인가요? 청년들의 묵돈 마련과 내집마련을 청년우대형주택청 약종합저추으로 시작하세요. 상품 특징은요 일반 주택 기본금위에 1.5% 의 우세금리를 제공합니다 과쇠 되나요? 이자소득 500만원까지 연간 불이 백  600만원 한 더로 비과세 혜택 적용합니다. 무주택, 무주태 혜퇴 있나요? 최대 960만 원 소득 공재도 됩니다 가입 대상은요 만 19세에서 만 34대 이하입니다 주택이 있어도 되나요 본인이 무주텍 세 개주의 입니다 또 다른 쏙 끄는 요 가입 후 3년 내에  세대주 예정자이고 무주택 세대원입니다. 준비 서류 있습니까? 세면화 등증표와 등록 발급 3개월 때 소독 증빙서류 입니다 기본설류는 무엇인가요? 직전 면도 소득 확인 증명서입니다 소득이 없으면요 급여 명세표도",0,상품 가입 및 해지,original,[수정]20210202 102950.mp3
normal_상품 가입 및 해지_[수정]20210202 103224," 국민은행 매직화적금은 무엇인가요? 자동차를 보여준 일어나 미래 구입재정인 고객일 때, 자동차 관련 우대 이유를 제공하는 자유 정립식 계급입니다. 이유로는요? 최고 0% 1,85% 입니다 기간은요? 1년 2년 3년 입니다 가입 금액은요 만원에서 백만 원 까지 입니다  상품 유용은 어떻게 되나요? 자유정입식입니다. 한 명이 몇 개자 만들 수 있는 건가요? 1인, 2개자 제한 입니다 예금담보대출은 되나요 계좌자매계 95%까지 가능합니다 세제액은요 비과세의 종합저축으로 가입감회갑니다 이자지육방심은 어떻게되나요 만기일시 지급식입니다  이지할 때는 어디서 하나요? 영업점이나 인터넷 뱅킹 스마트 상단부 모두 가능합니다.",0,상품 가입 및 해지,original,[수정]20210202 103224.mp3
normal_상품 가입 및 해지_[수정]20210202 103342, KB영유스 어린이 동장은 무엇인가요? 계좌안에 계좌로 특별 우대위원 및 무료 유화교육 서비스를 제공하는 어린이코객받춤 입출금의 자유로운 예급입니다. 바입대상은요? 만 14세 미만 입니다. 개인만 가려나는가요? 네 1인1동작입니다. 혜택은요  적응통기능과 교육서비스 기능입니다. 이유로는 연 2% 입니다 가입자격욕구 는요 만 14세 미만 입니다 예금자도 보도되나요 네 됩니다 3제트의 등은 요 비가 쎄 저축으로 가입 가능합니다 이 자개상 기준일 음료 매년 2월 5월 8월 11월에  2. 상품 유형,0,상품 가입 및 해지,original,[수정]20210202 103342.mp3
